school_id,ranking
School-780,1
School-580,2
School-399,3
School-953,4
School-1222,5
School-148,6
School-1350,7
School-464,8
School-709,9
School-1275,10
School-298,11
School-1085,12
School-137,13
School-278,14
School-1339,15
School-1075,16
School-1072,17
School-799,18
School-1576,19
School-4002,20
School-181,21
School-1258,22
School-1147,23
School-340,24
School-355,25
School-1277,26
School-1232,27
School-1381,28
School-1079,29
School-675,30
School-1100,31
School-1255,32
School-361,33
School-1073,34
School-1074,35
School-1112,36
School-122,37
School-1040,38
School-1077,39
School-18418,40
School-124,41
School-724,42
School-825,43
School-1270,44
School-1331,45
School-509,46
School-783,47
School-1101,48
School-1530,49
School-1130,50
School-186,51
School-1003,52
School-1349,53
School-1237,54
School-696,55
School-1257,56
School-269,57
School-685,58
School-971,59
School-4767,60
School-1513,61
School-1236,62
School-129,63
School-353,64
School-601,65
School-758,66
School-882,67
School-1041,68
School-1241,69
School-795,70
School-1091,71
School-1247,72
School-958,73
School-440,74
School-992,75
School-274,76
School-982,77
School-960,78
School-1076,79
School-242,80
School-759,81
School-826,82
School-1111,83
School-668,84
School-1078,85
School-1521,86
School-421,87
School-565,88
School-1094,89
School-1220,90
School-32,91
School-90,92
School-1325,93
School-538,94
School-807,95
School-927,96
School-1262,97
School-18445,98
School-370,99
School-19100,100
School-999,101
School-1087,102
School-1115,103
School-1223,104
